Book,Chapter,Verse,Citations
Doctrine and Covenants,25,7,4
Doctrine and Covenants,25,6,4
Doctrine and Covenants,25,5,4
Moroni,7,34,4
Doctrine and Covenants,25,2,4
Doctrine and Covenants,27,2,4
Doctrine and Covenants,25,16,4
Doctrine and Covenants,25,14,4
Doctrine and Covenants,107,29,4
Doctrine and Covenants,107,28,4
Alma,34,22,4
Alma,34,19,4
Moroni,6,2,4
1 Timothy,6,15,4
Mormon,9,14,4
Moroni,6,9,4
Mormon,8,34,4
Matthew,28,16,4
2 Corinthians,4,9,4
Alma,13,3,4
Alma,13,2,4
Alma,11,45,4
Job,42,3,4
Alma,12,29,4
Alma,12,28,4
Alma,12,24,4
John,1,12,4
Doctrine and Covenants,107,26,4
Doctrine and Covenants,107,24,4
Doctrine and Covenants,107,15,4
Doctrine and Covenants,107,14,4
Doctrine and Covenants,107,12,4
Doctrine and Covenants,107,10,4
Doctrine and Covenants,107,8,4
Doctrine and Covenants,107,27,4
Doctrine and Covenants,93,23,4
Doctrine and Covenants,107,4,4
Doctrine and Covenants,34,3,4
Doctrine and Covenants,104,17,4
Doctrine and Covenants,104,16,4
Doctrine and Covenants,101,54,4
Doctrine and Covenants,38,2,4
1 Samuel,17,47,4
Doctrine and Covenants,101,5,4
Doctrine and Covenants,101,4,4
Alma,34,25,4
Alma,34,24,4
Alma,34,23,4
James,4,8,4
Alma,13,8,4
Alma,13,4,4
1 Peter,4,6,4
Doctrine and Covenants,42,17,4
Doctrine and Covenants,90,11,4
Doctrine and Covenants,89,19,4
Alma,12,34,4
Alma,12,33,4
Alma,34,6,4
Alma,34,4,4
Alma,34,3,4
Doctrine and Covenants,93,9,4
1 Peter,3,14,4
Moroni,8,16,4
Doctrine and Covenants,93,11,4
Doctrine and Covenants,98,12,4
Doctrine and Covenants,98,3,4
Doctrine and Covenants,93,27,4
Doctrine and Covenants,88,15,4
Doctrine and Covenants,45,59,4
Hebrews,12,5,4
Hebrews,11,1,4
Moses,1,23,4
Doctrine and Covenants,43,9,4
Doctrine and Covenants,88,119,4
Doctrine and Covenants,88,78,4
Doctrine and Covenants,88,62,4
Doctrine and Covenants,88,40,4
1 Nephi,22,9,4
Moses,1,24,4
Doctrine and Covenants,43,34,4
Moroni,10,34,4
1 Peter,2,25,4
1 Peter,5,8,4
Moses,6,30,4
Moses,6,29,4
Jacob,6,5,4
Doctrine and Covenants,45,58,4
Doctrine and Covenants,45,56,4
Doctrine and Covenants,88,7,4
Moses,5,4,4
Moses,5,2,4
Moses,5,1,4
1 Nephi,19,9,4
Doctrine and Covenants,88,3,4
Moses,2,27,4
Moses,1,35,4
Moses,1,32,4
Doctrine and Covenants,88,33,4
Doctrine and Covenants,88,22,4
Doctrine and Covenants,84,99,4
Doctrine and Covenants,84,98,4
Alma,13,29,4
Moses,6,28,4
Moses,6,27,4
Moses,6,26,4
Moses,6,23,4
Moses,6,9,4
Doctrine and Covenants,46,15,4
Doctrine and Covenants,46,12,4
Doctrine and Covenants,84,107,4
Doctrine and Covenants,85,6,4
Doctrine and Covenants,46,16,4
Moses,5,58,4
Moses,5,16,4
Moses,5,13,4
Moses,7,37,4
Moses,7,35,4
1 Nephi,15,34,4
1 Nephi,15,33,4
Moses,7,21,4
Moses,7,19,4
Doctrine and Covenants,46,19,4
Doctrine and Covenants,50,20,4
Doctrine and Covenants,50,19,4
Doctrine and Covenants,84,97,4
Doctrine and Covenants,46,21,4
Moses,6,64,4
Doctrine and Covenants,84,105,4
Moses,6,51,4
Moses,6,50,4
Doctrine and Covenants,84,100,4
Doctrine and Covenants,84,82,4
Doctrine and Covenants,84,81,4
Doctrine and Covenants,84,80,4
Doctrine and Covenants,58,3,4
Doctrine and Covenants,84,79,4
Mosiah,2,9,4
Mosiah,2,6,4
1 Nephi,15,8,4
Doctrine and Covenants,50,41,4
Mosiah,2,5,4
Mosiah,2,4,4
Moses,8,24,4
1 Nephi,15,25,4
1 Nephi,15,17,4
1 Nephi,15,16,4
1 Nephi,15,15,4
Mosiah,3,13,4
Mosiah,3,10,4
Mosiah,3,9,4
Doctrine and Covenants,84,78,4
Doctrine and Covenants,84,77,4
Doctrine and Covenants,84,73,4
1 Nephi,13,37,4
Mosiah,2,21,4
Doctrine and Covenants,84,63,4
Doctrine and Covenants,84,61,4
Doctrine and Covenants,84,57,4
Doctrine and Covenants,84,50,4
Doctrine and Covenants,84,87,4
Doctrine and Covenants,84,86,4
Doctrine and Covenants,84,84,4
Doctrine and Covenants,84,83,4
Doctrine and Covenants,59,6,4
Doctrine and Covenants,58,26,4
Doctrine and Covenants,59,21,4
Isaiah,58,12,4
Alma,22,16,4
Mosiah,4,8,4
1 Nephi,11,3,4
1 Nephi,8,38,4
1 Nephi,8,36,4
1 Nephi,8,35,4
1 Nephi,8,34,4
1 Nephi,8,32,4
Mosiah,4,15,4
1 Nephi,11,35,4
1 Nephi,11,34,4
Mosiah,4,6,4
Mosiah,5,12,4
1 Nephi,7,12,4
Mosiah,5,1,4
Mosiah,4,24,4
Doctrine and Covenants,59,12,4
Doctrine and Covenants,59,11,4
Isaiah,53,11,4
Isaiah,53,10,4
Isaiah,53,9,4
Isaiah,53,8,4
Doctrine and Covenants,59,15,4
1 Nephi,8,2,4
1 Nephi,8,1,4
1 Nephi,8,31,4
1 Nephi,8,18,4
1 Nephi,8,17,4
1 Nephi,3,30,4
Doctrine and Covenants,84,2,4
Isaiah,49,15,4
Isaiah,53,12,4
Mosiah,7,33,4
1 Nephi,4,18,4
1 Nephi,4,17,4
1 Nephi,4,16,4
1 Nephi,4,15,4
1 Nephi,4,14,4
Doctrine and Covenants,62,3,4
Doctrine and Covenants,84,25,4
Doctrine and Covenants,84,24,4
Doctrine and Covenants,84,23,4
1 Nephi,4,13,4
1 Nephi,4,12,4
Mosiah,15,28,4
Mosiah,15,1,4
Mosiah,14,5,4
Mosiah,14,4,4
1 Nephi,3,20,4
1 Nephi,3,19,4
1 Nephi,3,18,4
Isaiah,28,10,4
Alma,32,23,4
Alma,32,20,4
Alma,32,19,4
Alma,32,18,4
Alma,32,17,4
Doctrine and Covenants,84,4,4
Doctrine and Covenants,84,3,4
1 Nephi,3,5,4
Mosiah,24,10,4
Mosiah,23,22,4
Mosiah,18,25,4
Mosiah,27,9,4
Mosiah,27,8,4
Alma,26,22,4
Isaiah,2,3,4
Alma,29,9,4
Alma,28,12,4
Alma,24,18,4
Alma,24,17,4
Mosiah,18,22,4
Mosiah,18,19,4
Mosiah,18,17,4
1 Nephi,3,4,4
Mosiah,16,5,4
Mosiah,26,1,4
1 Kings,19,11,4
Numbers,21,7,4
1 Kings,18,21,4
Alma,32,12,4
Helaman,14,18,4
Helaman,14,16,4
Helaman,14,13,4
Helaman,12,2,4
Helaman,10,5,4
Alma,30,27,4
Alma,30,23,4
Alma,32,9,4
Alma,32,6,4
Alma,32,1,4
Mosiah,24,11,4
Acts,3,5,4
1 Corinthians,6,20,4
Alma,30,15,4
Alma,30,14,4
1 Corinthians,15,3,4
1 Corinthians,12,11,4
1 Corinthians,12,9,4
1 Corinthians,13,13,4
1 Corinthians,13,11,4
1 Corinthians,15,51,4
1 Corinthians,15,10,4
1 Corinthians,15,8,4
1 Corinthians,15,6,4
1 Corinthians,15,57,4
1 Corinthians,15,56,4
1 Corinthians,15,53,4
Doctrine and Covenants,138,60,4
Acts,3,1,4
Acts,2,47,4
Acts,2,42,4
Ether,12,11,4
Alma,57,27,4
Ether,3,12,4
John,20,17,4
John,20,12,4
John,20,11,4
Acts,3,3,4
Acts,3,2,4
Acts,2,41,4
Acts,2,38,4
Acts,2,37,4
Acts,2,36,4
1 Corinthians,1,27,3
Alma,30,13,3
Helaman,5,40,3
Helaman,5,33,3
1 Corinthians,15,11,3
1 Corinthians,15,12,3
1 Corinthians,15,13,3
1 Corinthians,15,14,3
1 Corinthians,15,15,3
1 Corinthians,15,16,3
1 Corinthians,15,17,3
1 Corinthians,15,18,3
1 Corinthians,15,27,3
1 Corinthians,15,28,3
1 Corinthians,15,30,3
1 Corinthians,15,31,3
1 Corinthians,15,32,3
1 Corinthians,15,33,3
1 Corinthians,15,34,3
1 Corinthians,15,35,3
Isaiah,29,11,3
Isaiah,29,12,3
Alma,24,19,3
Alma,26,11,3
Helaman,15,5,3
Helaman,15,7,3
Helaman,15,8,3
Alma,29,10,3
Isaiah,6,8,3
Alma,26,16,3
Alma,26,27,3
Alma,32,24,3
Alma,32,25,3
Alma,32,2,3
Alma,32,3,3
Alma,32,4,3
Isaiah,54,7,3
Alma,22,12,3
Isaiah,40,11,3
Isaiah,40,30,3
Isaiah,41,13,3
Isaiah,48,10,3
Isaiah,49,13,3
Isaiah,49,14,3
Isaiah,49,25,3
Isaiah,53,2,3
Alma,33,3,3
Alma,26,36,3
Alma,26,37,3
Alma,27,18,3
Isaiah,12,3,3
Isaiah,25,8,3
Alma,18,22,3
Jacob,4,11,3
Alma,19,6,3
Alma,19,36,3
Alma,22,4,3
Alma,18,32,3
Alma,18,35,3
Hebrews,12,7,3
Hebrews,12,8,3
Hebrews,12,10,3
Hebrews,12,11,3
Alma,22,13,3
Isaiah,58,13,3
Jacob,4,6,3
Jacob,4,10,3
Alma,23,7,3
Alma,34,5,3
Jacob,6,9,3
Jacob,7,5,3
James,1,8,3
James,2,20,3
Alma,12,31,3
Alma,12,32,3
Alma,34,7,3
Hebrews,9,11,3
Hebrews,11,40,3
Alma,13,11,3
Alma,13,12,3
Alma,13,22,3
Alma,13,23,3
Alma,17,3,3
Alma,17,11,3
Alma,10,6,3
Alma,12,25,3
Alma,12,26,3
Alma,12,27,3
Job,19,25,3
Job,42,2,3
Alma,12,35,3
Alma,13,9,3
Jeremiah,8,22,3
Jeremiah,29,11,3
Jeremiah,29,13,3
Jeremiah,31,3,3
Jeremiah,31,34,3
Alma,33,21,3
Alma,34,1,3
Alma,34,2,3
John,3,15,3
Alma,11,41,3
John,1,26,3
John,1,27,3
John,1,34,3
John,1,38,3
John,1,43,3
John,1,44,3
Alma,34,40,3
Alma,36,1,3
Alma,12,6,3
John,1,4,3
John,1,5,3
John,1,6,3
John,1,7,3
John,1,8,3
Alma,8,14,3
Alma,8,15,3
Alma,8,16,3
Alma,8,18,3
Alma,7,22,3
Alma,7,25,3
Alma,7,26,3
Alma,7,27,3
Alma,7,5,3
Alma,7,8,3
Hebrews,6,4,3
Hebrews,6,5,3
Hebrews,6,6,3
John,1,45,3
John,2,5,3
John,3,14,3
Alma,5,44,3
Alma,37,7,3
Alma,37,13,3
Alma,37,35,3
Alma,37,44,3
Alma,36,22,3
Alma,7,9,3
Alma,7,16,3
Alma,7,17,3
Alma,7,18,3
Alma,7,19,3
Alma,7,20,3
Alma,5,55,3
Alma,5,56,3
Alma,5,57,3
Alma,36,4,3
Genesis,37,27,3
Genesis,45,6,3
Genesis,45,7,3
Genesis,45,8,3
Haggai,1,5,3
Hebrews,1,3,3
Alma,5,58,3
Alma,5,61,3
Alma,5,62,3
Alma,7,1,3
Alma,7,2,3
Alma,7,3,3
Alma,7,4,3
Alma,5,40,3
Alma,5,41,3
Alma,5,42,3
Alma,5,18,3
Alma,5,20,3
Alma,5,30,3
Alma,5,32,3
Alma,5,36,3
Alma,5,8,3
Alma,5,50,3
Alma,5,52,3
Alma,5,22,3
Alma,5,23,3
Alma,5,24,3
Alma,5,25,3
Alma,37,47,3
Alma,38,9,3
Alma,38,12,3
Genesis,37,26,3
John,6,2,3
John,6,3,3
John,6,4,3
John,4,35,3
John,4,40,3
John,4,41,3
Alma,4,19,3
Alma,5,1,3
Alma,5,2,3
Alma,5,3,3
Alma,5,4,3
Alma,5,5,3
Alma,39,17,3
Alma,39,18,3
Alma,39,19,3
Alma,40,1,3
Alma,40,11,3
Acts,20,30,3
Acts,26,16,3
John,10,12,3
John,10,13,3
John,8,31,3
John,6,14,3
John,6,40,3
John,6,56,3
Genesis,1,1,3
Alma,39,9,3
John,5,22,3
Alma,4,6,3
Alma,4,8,3
John,5,30,3
John,6,1,3
Alma,40,22,3
Alma,40,24,3
John,11,2,3
John,11,3,3
John,11,6,3
John,11,7,3
John,11,14,3
John,11,22,3
John,11,23,3
John,11,26,3
John,11,27,3
Alma,40,4,3
Alma,40,6,3
Alma,40,7,3
Alma,40,9,3
Alma,40,10,3
Ezekiel,34,5,3
Ezekiel,34,6,3
Ezekiel,34,16,3
John,11,40,3
John,11,41,3
John,11,42,3
John,12,12,3
John,12,13,3
John,12,46,3
John,13,2,3
John,13,3,3
John,13,6,3
John,13,7,3
John,13,8,3
Ezekiel,36,27,3
Ezekiel,36,28,3
Acts,10,47,3
Acts,10,48,3
John,14,9,3
John,14,20,3
John,13,9,3
John,13,10,3
John,13,11,3
John,13,12,3
John,13,13,3
John,13,16,3
John,13,17,3
John,13,18,3
John,13,23,3
Acts,10,44,3
Ezekiel,34,2,3
Ezekiel,34,3,3
Exodus,34,6,3
Ezekiel,33,7,3
John,17,10,3
John,17,12,3
Acts,9,6,3
John,15,18,3
John,15,19,3
John,16,20,3
John,17,1,3
John,17,2,3
John,17,6,3
John,17,7,3
John,17,8,3
John,17,9,3
Acts,10,45,3
Acts,10,46,3
Exodus,28,28,3
Exodus,28,29,3
Exodus,28,30,3
Exodus,28,31,3
Exodus,28,32,3
Exodus,28,33,3
Exodus,28,34,3
Exodus,28,35,3
Exodus,28,37,3
Exodus,28,38,3
Exodus,28,39,3
Exodus,28,40,3
Exodus,28,41,3
Exodus,28,42,3
Exodus,28,43,3
Exodus,29,29,3
Exodus,28,12,3
Exodus,28,13,3
Exodus,28,14,3
Exodus,28,15,3
Exodus,28,16,3
Exodus,28,17,3
Exodus,28,18,3
Exodus,28,19,3
Exodus,28,20,3
Exodus,28,21,3
Exodus,28,22,3
Exodus,28,23,3
Exodus,28,24,3
Exodus,28,25,3
Exodus,28,26,3
Exodus,28,27,3
Exodus,3,5,3
Exodus,3,7,3
Exodus,4,10,3
Exodus,19,6,3
Exodus,20,3,3
Exodus,28,1,3
Exodus,28,2,3
Exodus,28,3,3
Exodus,28,4,3
Exodus,28,5,3
Exodus,28,6,3
Exodus,28,7,3
Exodus,28,8,3
Exodus,28,9,3
Exodus,28,10,3
Exodus,28,11,3
Ether,6,6,3
Ether,6,8,3
Ether,12,12,3
Ether,12,19,3
Ether,12,30,3
John,17,25,3
John,18,10,3
John,19,16,3
John,19,28,3
John,19,29,3
John,20,3,3
John,20,4,3
John,20,5,3
Alma,56,46,3
Alma,56,48,3
Exodus,3,4,3
John,21,6,3
John,21,7,3
John,21,9,3
John,21,25,3
John,20,6,3
John,20,7,3
John,20,8,3
John,20,9,3
John,20,10,3
John,20,18,3
John,21,1,3
John,21,2,3
John,21,3,3
Ether,3,5,3
Ether,4,12,3
Alma,57,26,3
Acts,3,8,3
Acts,3,9,3
Acts,3,10,3
Acts,2,33,3
Acts,2,34,3
Acts,2,35,3
Acts,2,39,3
Acts,2,40,3
Enos,1,20,3
Alma,60,11,3
Ephesians,2,14,3
Ephesians,4,15,3
Ephesians,6,18,3
Ether,3,4,3
Acts,3,25,3
John,21,5,3
Acts,2,45,3
Acts,2,46,3
Acts,2,17,3
Acts,2,18,3
Acts,2,22,3
Acts,2,23,3
Acts,2,24,3
Acts,2,25,3
Acts,2,26,3
Acts,2,27,3
Acts,2,28,3
Enos,1,10,3
Enos,1,11,3
Enos,1,14,3
Enos,1,15,3
Enos,1,17,3
Acts,2,31,3
Acts,2,32,3
Acts,2,1,3
Acts,2,4,3
Acts,2,5,3
Acts,2,6,3
Acts,2,7,3
Acts,2,8,3
Acts,2,9,3
Acts,2,10,3
Acts,2,11,3
Acts,2,12,3
Acts,2,13,3
Acts,2,14,3
Acts,2,43,3
Acts,2,44,3
Abraham,4,15,3
Abraham,4,18,3
Abraham,4,21,3
Joseph Smith—History,1,27,3
Joseph Smith—History,1,32,3
Joseph Smith—History,1,35,3
Acts,2,15,3
Acts,2,16,3
Joseph Smith—History,1,6,3
Joseph Smith—History,1,7,3
Colossians,1,23,3
Colossians,2,6,3
Articles of Faith,1,2,3
Articles of Faith,1,12,3
Acts,2,29,3
Acts,2,30,3
Joseph Smith—History,1,69,3
Joseph Smith—History,1,70,3
Joseph Smith—History,1,72,3
Joseph Smith—History,1,76,3
Joseph Smith—History,1,40,3
Joseph Smith—History,1,41,3
Joseph Smith—History,1,42,3
Joseph Smith—History,1,43,3
Joseph Smith—History,1,44,3
Joseph Smith—History,1,45,3
Joseph Smith—History,1,46,3
Joseph Smith—History,1,47,3
Joseph Smith—History,1,54,3
Abraham,4,10,3
Abraham,4,11,3
Abraham,4,12,3
Abraham,4,7,3
Abraham,4,9,3
Leviticus,8,1,3
Leviticus,8,2,3
Leviticus,8,3,3
Leviticus,8,4,3
Leviticus,8,5,3
Leviticus,8,6,3
Leviticus,8,7,3
Abraham,3,6,3
Abraham,3,12,3
Abraham,3,14,3
Abraham,3,17,3
Abraham,4,24,3
Abraham,4,25,3
Joseph Smith—History,1,68,3
Leviticus,8,16,3
Leviticus,8,17,3
Leviticus,8,18,3
Leviticus,8,19,3
Doctrine and Covenants,132,10,3
Doctrine and Covenants,132,11,3
Doctrine and Covenants,132,12,3
Doctrine and Covenants,132,30,3
Doctrine and Covenants,132,45,3
Doctrine and Covenants,132,47,3
Doctrine and Covenants,132,50,3
Doctrine and Covenants,135,3,3
Doctrine and Covenants,136,4,3
Doctrine and Covenants,136,23,3
Doctrine and Covenants,136,32,3
Doctrine and Covenants,137,10,3
Leviticus,8,29,3
Doctrine and Covenants,130,2,3
Doctrine and Covenants,131,6,3
Doctrine and Covenants,132,6,3
Doctrine and Covenants,132,9,3
Abraham,3,18,3
Abraham,3,20,3
Abraham,3,21,3
Leviticus,8,8,3
Leviticus,8,9,3
Leviticus,8,10,3
Leviticus,8,11,3
Leviticus,8,12,3
Leviticus,8,13,3
Leviticus,8,14,3
Leviticus,8,15,3
Leviticus,8,34,3
Leviticus,8,35,3
Leviticus,8,36,3
Leviticus,11,44,3
Luke,2,1,3
Leviticus,8,20,3
Leviticus,8,21,3
Leviticus,8,22,3
Leviticus,8,23,3
Abraham,3,3,3
Abraham,2,6,3
Leviticus,8,24,3
Leviticus,8,25,3
Leviticus,8,26,3
Leviticus,8,27,3
Leviticus,8,28,3
Luke,2,16,3
Luke,2,17,3
Luke,2,18,3
Luke,2,19,3
Luke,2,20,3
Luke,2,21,3
Abraham,1,2,3
Doctrine and Covenants,124,15,3
Doctrine and Covenants,128,8,3
Doctrine and Covenants,128,10,3
Doctrine and Covenants,128,16,3
Doctrine and Covenants,128,21,3
Leviticus,8,30,3
Leviticus,8,31,3
Leviticus,8,32,3
Leviticus,8,33,3
Luke,2,25,3
Luke,2,26,3
Luke,2,27,3
Luke,2,28,3
Luke,2,29,3
Luke,2,30,3
Luke,2,31,3
Luke,2,32,3
Luke,2,33,3
Luke,2,34,3
Luke,2,35,3
Luke,2,36,3
Luke,2,37,3
Deuteronomy,6,6,3
Doctrine and Covenants,122,1,3
Luke,2,15,3
Luke,2,38,3
Luke,2,39,3
Luke,2,41,3
Luke,2,42,3
Luke,2,43,3
Luke,2,44,3
Luke,2,45,3
Luke,2,47,3
Luke,2,48,3
Luke,2,49,3
Luke,2,50,3
Luke,2,51,3
Luke,4,8,3
Luke,2,22,3
Luke,2,23,3
Luke,2,24,3
Luke,6,15,3
Luke,6,27,3
Luke,6,37,3
Luke,6,46,3
3 Nephi,27,30,3
4 Nephi,1,1,3
4 Nephi,1,3,3
4 Nephi,1,4,3
4 Nephi,1,6,3
Doctrine and Covenants,112,4,3
Doctrine and Covenants,112,5,3
Doctrine and Covenants,112,12,3
Doctrine and Covenants,112,24,3
Doctrine and Covenants,112,31,3
Doctrine and Covenants,112,32,3
Doctrine and Covenants,115,5,3
3 Nephi,27,28,3
Luke,7,37,3
Luke,7,38,3
Luke,7,39,3
Luke,7,40,3
3 Nephi,26,19,3
3 Nephi,26,20,3
3 Nephi,26,21,3
Doctrine and Covenants,112,1,3
3 Nephi,27,31,3
3 Nephi,27,33,3
Luke,7,12,3
4 Nephi,1,14,3
Luke,4,20,3
Luke,4,32,3
Luke,5,10,3
Luke,10,41,3
Luke,10,42,3
Luke,7,50,3
Luke,8,1,3
Luke,9,24,3
Luke,9,29,3
3 Nephi,27,12,3
Luke,7,41,3
Luke,7,42,3
Luke,7,43,3
Luke,7,44,3
Luke,7,45,3
Luke,7,46,3
Luke,7,47,3
Luke,7,48,3
Luke,7,49,3
Luke,18,4,3
Luke,18,5,3
Luke,18,6,3
Luke,18,7,3
3 Nephi,19,23,3
3 Nephi,19,24,3
3 Nephi,19,33,3
Luke,18,8,3
Doctrine and Covenants,1,29,3
Doctrine and Covenants,1,33,3
Luke,18,1,3
Luke,18,2,3
Luke,18,3,3
3 Nephi,20,26,3
Luke,11,10,3
Luke,10,2,3
Luke,22,51,3
Luke,23,33,3
3 Nephi,18,14,3
3 Nephi,19,19,3
Luke,19,37,3
Luke,19,41,3
Luke,19,42,3
Luke,19,43,3
Luke,19,44,3
Luke,21,36,3
Luke,22,19,3
Doctrine and Covenants,1,36,3
Doctrine and Covenants,1,37,3
Doctrine and Covenants,2,1,3
Doctrine and Covenants,2,2,3
Doctrine and Covenants,1,24,3
Luke,24,36,3
Luke,24,37,3
Luke,24,39,3
Luke,24,46,3
Luke,24,47,3
3 Nephi,14,8,3
3 Nephi,14,24,3
3 Nephi,14,25,3
3 Nephi,14,26,3
3 Nephi,14,27,3
Doctrine and Covenants,4,4,3
Doctrine and Covenants,4,6,3
3 Nephi,17,1,3
3 Nephi,17,2,3
Luke,22,45,3
Luke,22,46,3
Mark,4,41,3
Mark,5,24,3
3 Nephi,9,2,3
3 Nephi,9,16,3
3 Nephi,9,17,3
3 Nephi,12,19,3
Luke,24,48,3
3 Nephi,12,39,3
Mark,1,31,3
3 Nephi,12,9,3
3 Nephi,12,14,3
3 Nephi,12,15,3
Doctrine and Covenants,9,9,3
Luke,24,33,3
Luke,24,34,3
Luke,24,35,3
Mark,6,40,3
Mark,6,41,3
Mark,6,42,3
Mark,6,43,3
Mark,6,44,3
Mark,9,3,3
Mark,5,36,3
Mark,6,31,3
Mark,6,32,3
Mark,6,33,3
Mark,6,35,3
Mark,6,36,3
Mark,6,37,3
Doctrine and Covenants,6,32,3
Mark,3,17,3
3 Nephi,5,13,3
Matthew,1,23,3
Matthew,4,1,3
Mark,10,17,3
Mark,10,18,3
Mark,10,19,3
Mark,10,20,3
Mark,10,27,3
Mark,10,43,3
Mark,10,46,3
Mark,10,49,3
Mark,10,51,3
2 Timothy,3,6,3
2 Timothy,3,7,3
2 Timothy,3,12,3
Mark,6,38,3
Mark,6,39,3
Matthew,5,2,3
2 Nephi,32,2,3
2 Nephi,32,8,3
Matthew,4,2,3
Matthew,4,7,3
2 Peter,1,9,3
2 Peter,1,10,3
Matthew,4,17,3
Matthew,4,18,3
Doctrine and Covenants,11,14,3
Doctrine and Covenants,11,21,3
Mark,11,8,3
Mark,11,9,3
Mark,11,10,3
Mark,14,35,3
Mark,14,36,3
Matthew,5,31,3
Matthew,5,32,3
Matthew,5,33,3
2 Nephi,28,7,3
Matthew,5,34,3
Matthew,5,35,3
Matthew,5,36,3
Matthew,5,37,3
2 Nephi,29,14,3
Matthew,5,18,3
Matthew,5,19,3
Matthew,5,21,3
Matthew,5,22,3
Matthew,5,3,3
Matthew,5,4,3
2 Nephi,29,7,3
2 Nephi,25,29,3
Matthew,6,21,3
Matthew,5,40,3
Matthew,5,47,3
Matthew,6,1,3
2 Nephi,26,16,3
2 Nephi,26,20,3
2 Nephi,26,22,3
Doctrine and Covenants,18,24,3
Doctrine and Covenants,107,95,3
Doctrine and Covenants,107,96,3
Doctrine and Covenants,107,97,3
Doctrine and Covenants,107,98,3
Doctrine and Covenants,107,100,3
Matthew,5,29,3
Matthew,5,30,3
Doctrine and Covenants,107,79,3
Doctrine and Covenants,107,80,3
Doctrine and Covenants,107,81,3
Doctrine and Covenants,107,82,3
Doctrine and Covenants,107,83,3
Doctrine and Covenants,107,84,3
Doctrine and Covenants,107,85,3
Doctrine and Covenants,107,86,3
Doctrine and Covenants,107,90,3
Doctrine and Covenants,107,93,3
Doctrine and Covenants,107,94,3
Doctrine and Covenants,18,23,3
Matthew,6,3,3
Matthew,6,10,3
Matthew,6,11,3
2 Nephi,25,28,3
Doctrine and Covenants,107,67,3
Doctrine and Covenants,107,68,3
Doctrine and Covenants,107,69,3
Doctrine and Covenants,107,70,3
Doctrine and Covenants,107,71,3
Doctrine and Covenants,107,73,3
Doctrine and Covenants,107,75,3
Doctrine and Covenants,107,76,3
Doctrine and Covenants,107,77,3
Doctrine and Covenants,107,78,3
Doctrine and Covenants,19,1,3
Doctrine and Covenants,19,4,3
Doctrine and Covenants,19,5,3
Doctrine and Covenants,19,7,3
Doctrine and Covenants,19,10,3
Doctrine and Covenants,19,11,3
Doctrine and Covenants,107,64,3
Matthew,7,11,3
Matthew,7,13,3
Matthew,7,24,3
Matthew,7,25,3
Matthew,8,1,3
Matthew,6,33,3
Matthew,7,4,3
Matthew,7,9,3
Matthew,7,10,3
2 Nephi,25,17,3
2 Nephi,25,21,3
2 Nephi,25,22,3
2 Nephi,25,24,3
Doctrine and Covenants,107,65,3
Doctrine and Covenants,107,66,3
2 Nephi,25,4,3
2 Nephi,25,7,3
2 Nephi,25,8,3
Matthew,9,10,3
Matthew,9,11,3
Matthew,9,12,3
Matthew,9,13,3
Matthew,9,20,3
Matthew,9,21,3
Matthew,10,29,3
Matthew,10,32,3
Matthew,10,39,3
Doctrine and Covenants,19,12,3
Doctrine and Covenants,19,13,3
Doctrine and Covenants,19,14,3
Doctrine and Covenants,107,63,3
Matthew,13,45,3
Matthew,13,46,3
2 Nephi,9,25,3
2 Nephi,9,26,3
2 Nephi,9,27,3
2 Nephi,19,6,3
Matthew,13,4,3
Matthew,13,5,3
Matthew,13,6,3
Matthew,13,7,3
Matthew,13,8,3
2 Nephi,9,40,3
2 Nephi,9,45,3
2 Nephi,9,48,3
2 Nephi,9,50,3
2 Nephi,9,51,3
Matthew,17,2,3
Matthew,17,5,3
Matthew,18,3,3
Matthew,18,4,3
Matthew,19,16,3
Matthew,14,22,3
Matthew,14,32,3
Matthew,16,13,3
Matthew,16,14,3
2 Nephi,8,7,3
2 Nephi,9,5,3
2 Nephi,9,30,3
2 Nephi,9,53,3
Matthew,13,18,3
Matthew,13,19,3
Matthew,13,23,3
2 Nephi,2,9,3
2 Nephi,2,4,3
2 Nephi,4,15,3
2 Nephi,4,17,3
Matthew,23,23,3
Matthew,23,37,3
Matthew,24,24,3
Matthew,24,35,3
Matthew,19,22,3
2 Nephi,4,20,3
2 Nephi,4,31,3
Matthew,21,8,3
Matthew,21,10,3
Matthew,21,11,3
Matthew,21,31,3
Matthew,22,14,3
Matthew,26,22,3
Matthew,26,23,3
Matthew,26,25,3
2 Kings,6,16,3
Matthew,26,2,3
Matthew,26,4,3
Matthew,26,6,3
Matthew,26,9,3
Matthew,26,10,3
Matthew,26,11,3
Matthew,26,12,3
Matthew,26,13,3
Matthew,26,14,3
Matthew,26,15,3
Matthew,26,16,3
2 Nephi,1,9,3
Doctrine and Covenants,107,58,3
Doctrine and Covenants,107,59,3
Doctrine and Covenants,107,60,3
Doctrine and Covenants,107,61,3
Doctrine and Covenants,107,62,3
Doctrine and Covenants,21,2,3
Matthew,26,31,3
Matthew,26,32,3
Matthew,26,33,3
Matthew,26,34,3
Matthew,26,35,3
Doctrine and Covenants,21,3,3
Matthew,26,18,3
Matthew,26,19,3
Matthew,26,20,3
Matthew,26,21,3
Doctrine and Covenants,107,44,3
Doctrine and Covenants,107,45,3
Doctrine and Covenants,107,46,3
Doctrine and Covenants,107,47,3
Matthew,26,58,3
